id,name,country,city,rank_world,intake_seasons,ielts_min,pte_min,toefl_min,gpa_requirement,tuition_fees,tuition_min_usd,tuition_max_usd,application_fee,documents_required,deadlines,official_website,admissions_page,notes,status
1,Massachusetts Institute of Technology (MIT),USA,Cambridge,3,Fall/Spring,7.0,65,100,3.8/4.0 (top 5% of class),"USD 55,000-60,000/year",55000,60000,USD 75,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Jan (EA) / Mar (RD),https://www.mit.edu,https://mitadmissions.org,Need-based financial aid for international students,verified
2,Harvard University,USA,Cambridge,4,Fall/Spring,7.0,65,100,3.8/4.0,"USD 54,000/year",54000,57000,USD 85,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov (EA) / Jan (RD),https://www.harvard.edu,https://college.harvard.edu/admissions,Very competitive; holistic review,verified
3,Stanford University,USA,Stanford,7,Fall/Spring,7.0,65,100,3.8/4.0,"USD 56,000/year",56000,59000,USD 90,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov (REA) / Jan (RD),https://www.stanford.edu,https://admission.stanford.edu,Great financial aid for internationals,approx
4,California Institute of Technology (Caltech),USA,Pasadena,9,Fall/Spring,7.0,65,100,3.8/4.0,"USD 56,000/year",56000,60000,USD 75,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov / Jan,https://www.caltech.edu,https://admissions.caltech.edu,STEM-focused; strong math/physics background needed,approx
5,"University of California, Berkeley",USA,Berkeley,10,Fall/Spring,7.0,65,80,3.7/4.0,"USD 45,000/year (out-of-state)",45000,50000,USD 80,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov,https://www.berkeley.edu,https://admissions.berkeley.edu,Public university; strong engineering and sciences,approx
6,"University of California, Los Angeles (UCLA)",USA,Los Angeles,14,Fall/Spring,7.0,65,80,3.7/4.0,"USD 44,000/year (out-of-state)",44000,49000,USD 80,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov,https://www.ucla.edu,https://admission.ucla.edu,Public research university,approx
7,University of Michigan,USA,Ann Arbor,21,Fall/Spring,7.0,65,100,3.7/4.0,"USD 50,000/year (out-of-state)",50000,55000,USD 75,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Feb,https://umich.edu,https://admissions.umich.edu,"Strong engineering, business and Ross programs",approx
8,University of Texas at Austin,USA,Austin,38,Fall/Spring,6.5,58,79,3.5/4.0,"USD 38,000-42,000/year (out-of-state)",38000,42000,USD 75,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Dec,https://www.utexas.edu,https://admissions.utexas.edu,Public flagship with strong CS program,approx
9,Georgia Institute of Technology,USA,Atlanta,34,Fall/Spring,7.0,65,100,3.6/4.0,"USD 30,000-33,000/year (out-of-state)",30000,33000,USD 85,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Oct (EA) / Jan (RD),https://www.gatech.edu,https://admission.gatech.edu,Top engineering school; affordable vs privates,approx
10,Purdue University,USA,West Lafayette,62,Fall/Spring,6.5,58,80,3.5/4.0,"USD 29,000-33,000/year (out-of-state)",29000,33000,USD 60,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov (EA) / Jan (RD),https://www.purdue.edu,https://admissions.purdue.edu,Excellent engineering at moderate cost,approx
11,University of Illinois Urbana-Champaign,USA,Urbana-Champaign,72,Fall/Spring,6.5,58,80,3.6/4.0,"USD 35,000-40,000/year (out-of-state)",35000,40000,USD 75,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov,https://illinois.edu,https://admissions.illinois.edu,Top CS/engineering program,approx
12,University of Washington,USA,Seattle,63,Fall/Spring,7.0,65,92,3.5/4.0,"USD 38,000-42,000/year (out-of-state)",38000,42000,USD 80,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov,https://www.washington.edu,https://admissions.uw.edu,"Strong CS, medical and engineering",approx
13,Pennsylvania State University,USA,University Park,89,Fall/Spring,6.5,58,80,3.4/4.0,"USD 34,000-38,000/year (out-of-state)",34000,38000,USD 65,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov (EA) / Feb (RD),https://www.psu.edu,https://admissions.psu.edu,Large flagship; rolling-ish decisions,approx
14,Arizona State University,USA,Tempe,179,Fall/Spring,6.0,50,79,3.0/4.0,"USD 28,000-32,000/year (out-of-state)",28000,32000,USD 70,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Jan / Spring: Oct,https://www.asu.edu,https://admission.asu.edu,Very international-friendly; multiple intakes,approx
15,University of Houston,USA,Houston,425,Fall/Spring,6.5,58,79,3.0/4.0,"USD 24,000-27,000/year (out-of-state)",24000,27000,USD 90,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Apr / Spring: Oct / Summer: Mar,https://www.uh.edu,https://uh.edu/admissions,Affordable; strong engineering/energy programs,approx
16,University of Texas at Dallas,USA,Richardson,405,Fall/Spring,6.5,58,80,3.0/4.0,"USD 27,000-30,000/year (out-of-state)",27000,30000,USD 75,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: May / Spring: Oct / Summer: Mar,https://www.utdallas.edu,https://admissions.utdallas.edu,Budget-friendly with strong STEM,approx
17,New York University (NYU),USA,New York,38,Fall/Spring,7.0,65,100,3.7/4.0,"USD 53,000/year",53000,58000,USD 80,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov (ED) / Jan (RD),https://www.nyu.edu,https://www.nyu.edu/admissions,Generous scholarships via NYU 1831 Fund,approx
18,Boston University,USA,Boston,105,Fall/Spring,7.0,65,90,3.5/4.0,"USD 55,000/year",55000,60000,USD 80,"Academic transcripts, English proficiency, Passport copy, Statement of purpose, Reference letters, SAT/ACT (program dependent)",Fall: Nov (ED) / Jan (RD),https://www.bu.edu,https://www.bu.edu/admissions,Strong international community,approx
