id,name,country,university_id,eligibility,coverage,amount_per_year_usd,deadline,link,notes,status
1,Chevening Scholarship,United Kingdom,,Open to international students from eligible countries; must hold an undergraduate degree with 2:1 or equivalent and at least two years of work experience,Full tuition + monthly stipend + airfare + visa fees,35000,Nov 2026,https://www.chevening.org,Flagship UK government global scholarship program,approx
2,Commonwealth Scholarship,United Kingdom,,Open to citizens of Commonwealth countries for taught Masters; requires first-class or upper second-class honours degree,Full tuition + airfare + living allowance,25000,Oct 2026,https://cscuk.fcdo.gov.uk,UK government funded for Commonwealth citizens,approx
3,Fulbright Foreign Student Program,United States,,Open to international students in 150+ countries for graduate study; requires bachelor's degree and strong English proficiency,Full or partial tuition + stipend + airfare + health insurance,30000,May 2026,https://www.fulbrightonline.org,Administered through US embassies and binational commissions,approx
4,DAAD Development-Related Postgraduate Scholarship,Germany,,Open to graduates from developing countries with at least two years of professional experience; for Masters or PhD in development-related fields,Full tuition exemption + monthly stipend + travel + health insurance,15000,Aug 2026,https://www.daad.de,German government scholarship; stipend about 934 EUR per month for Masters,approx
5,Australia Awards,Australia,,Open to citizens of participating developing countries; requires relevant academic background and work experience,Full tuition + return airfare + living allowance + health coverage,45000,Dec 2026,https://www.australiaawards.gov.au,Government of Australia scholarship,approx
6,Rhodes Scholarship (University of Oxford),United Kingdom,,Open to exceptional students from eligible countries; requires bachelor's degree and strong academic record; age limit varies by region,Full tuition + stipend + airfare + accommodation,45000,Aug 2026,https://www.rhodeshouse.ox.ac.uk,World's oldest international scholarship; covers two years at Oxford,approx
7,Gates Cambridge Scholarship,United Kingdom,,Open to outstanding international students for any postgraduate degree at Cambridge; requires application to Cambridge plus Gates essay,Full tuition + maintenance allowance + airfare + visa costs,50000,Oct 2026,https://www.gatescambridge.org,Funded by Bill and Melinda Gates Foundation,approx
8,Clarendon Fund (University of Oxford),United Kingdom,,Open to all international applicants for DPhil or Masters at Oxford; requires outstanding academic record,Full tuition + annual stipend,40000,Jan 2027,https://www.ox.ac.uk/clarendon,University of Oxford flagship graduate scholarship,approx
9,Erasmus Mundus Joint Masters,Multiple (EU),,Open to students worldwide for joint Master's programmes run by consortia of European universities,Full tuition + monthly stipend + travel allowance,22000,Jan 2026,https://www.eacea.ec.europa.eu,Programmes listed on the Erasmus Mundus catalogue each year,approx
10,MEXT Scholarship (Japan),Japan,,Open to international students with strong academic record; requires nomination through Japanese embassy or university recommendation,Full tuition + monthly stipend + airfare,15000,May 2026,https://www.studyinjapan.go.jp,Japanese government MEXT scholarship for graduate study,approx
